countrycode,country,year,rgdpo,pop,csh_i,ave_income,key
AUS,Australia,1970,245432.5156,12.90476,161.9777922,38.28653053,AUS-1970
AUS,Australia,1971,254986.8594,13.150591,155.0198659,39.03339939,AUS-1971
AUS,Australia,1972,263023.8438,13.364238,149.5945287,39.62002682,AUS-1972
AUS,Australia,1973,274795.4375,13.55219,156.8843977,40.81914298,AUS-1973
AUS,Australia,1974,266772.375,13.7254,135.840334,39.127283,AUS-1974
AUS,Australia,1975,272025.9688,13.892674,133.6000181,39.41743563,AUS-1975
AUS,Australia,1976,284435.7188,14.054956,136.6384211,40.73976215,AUS-1976
AUS,Australia,1977,289628.6563,14.211657,130.037925,41.02614007,AUS-1977
AUS,Australia,1978,303346.6563,14.368543,144.9885184,42.50013665,AUS-1978
AUS,Australia,1979,313245.5625,14.532401,140.2783527,43.39217312,AUS-1979
AUS,Australia,1980,323755.7188,14.708323,149.6651594,44.31167187,AUS-1980
AUS,Australia,1981,338412,14.898019,156.9996536,45.72788101,AUS-1981
AUS,Australia,1982,330351.4063,15.101227,137.6615871,44.03801857,AUS-1982
AUS,Australia,1983,350116.9063,15.318254,144.0764484,46.01163458,AUS-1983
AUS,Australia,1984,363798.4688,15.548591,150.3054523,47.10138454,AUS-1984
AUS,Australia,1985,373923.875,15.791043,150.6497102,47.66902024,AUS-1985
AUS,Australia,1986,385013,16.047026,142.6238293,48.29972785,AUS-1986
AUS,Australia,1987,417436.25,16.314778,146.9129054,51.5077807,AUS-1987
AUS,Australia,1988,442874,16.585905,156.01198,53.75326609,AUS-1988
AUS,Australia,1989,458443.0313,16.849253,151.8802242,54.7732575,AUS-1989
AUS,Australia,1990,459148.7188,17.096869,124.7847095,54.06306195,AUS-1990
AUS,Australia,1991,459646.7188,17.325818,121.9868609,53.40651784,AUS-1991
AUS,Australia,1992,478489.2813,17.538387,126.1758743,54.92200848,AUS-1992
AUS,Australia,1993,496492.75,17.738428,132.894408,56.34581018,AUS-1993
AUS,Australia,1994,520231.0625,17.932214,139.4005766,58.40179737,AUS-1994
AUS,Australia,1995,549039.4375,18.12477,131.9565991,60.9810479,AUS-1995
AUS,Australia,1996,576827.4375,18.31834,131.5342663,63.39042167,AUS-1996
AUS,Australia,1997,603486.9375,18.512971,133.7713551,65.62292733,AUS-1997
AUS,Australia,1998,622528.6875,18.709175,135.2841994,66.98361445,AUS-1998
AUS,Australia,1999,651364.3125,18.906936,135.9534136,69.35322364,AUS-1999
AUS,Australia,2000,672515.4375,19.107251,121.644905,70.85457469,AUS-2000
AUS,Australia,2001,694783.6875,19.308681,127.7265944,72.43706611,AUS-2001
AUS,Australia,2002,713336.5625,19.514385,138.1849375,73.58740055,AUS-2002
AUS,Australia,2003,742670.1875,19.735255,146.3146918,75.75601033,AUS-2003
