countrycode,country,year,fdi,key
AUS,Australia,1970,2.1769682,AUS-1970
AUS,Australia,1971,2.545202038,AUS-1971
AUS,Australia,1972,2.0277660809999998,AUS-1972
AUS,Australia,1973,0.23113167699999998,AUS-1973
AUS,Australia,1974,1.500022288,AUS-1974
AUS,Australia,1975,0.46845259,AUS-1975
AUS,Australia,1976,0.994037905,AUS-1976
AUS,Australia,1977,1.0339260590000001,AUS-1977
AUS,Australia,1978,1.417974887,AUS-1978
AUS,Australia,1979,1.105100551,AUS-1979
AUS,Australia,1980,1.248732166,AUS-1980
AUS,Australia,1981,1.328866575,AUS-1981
AUS,Australia,1982,1.21984754,AUS-1982
AUS,Australia,1983,1.6866457209999999,AUS-1983
AUS,Australia,1984,0.19389430600000002,AUS-1984
AUS,Australia,1985,1.144669345,AUS-1985
AUS,Australia,1986,2.9322345039999997,AUS-1986
AUS,Australia,1987,2.784316332,AUS-1987
AUS,Australia,1988,3.1298036789999997,AUS-1988
AUS,Australia,1989,2.4253202330000003,AUS-1989
AUS,Australia,1990,2.609363039,AUS-1990
AUS,Australia,1991,1.325418341,AUS-1991
AUS,Australia,1992,1.754237548,AUS-1992
AUS,Australia,1993,1.386181307,AUS-1993
AUS,Australia,1994,1.552048546,AUS-1994
AUS,Australia,1995,3.275024527,AUS-1995
AUS,Australia,1996,1.5441766540000001,AUS-1996
AUS,Australia,1997,1.756059571,AUS-1997
AUS,Australia,1998,1.493343765,AUS-1998
AUS,Australia,1999,0.8524922309999999,AUS-1999
AUS,Australia,2000,3.588373489,AUS-2000
AUS,Australia,2001,2.833608022,AUS-2001
AUS,Australia,2002,3.7152891169999998,AUS-2002
AUS,Australia,2003,1.9269457769999998,AUS-2003
AUS,Australia,2004,7.012154688,AUS-2004
AUS,Australia,2005,-3.622816984,AUS-2005
AUS,Australia,2006,4.09794832,AUS-2006
AUS,Australia,2007,5.216200847,AUS-2007
AUS,Australia,2008,4.2903937789999995,AUS-2008
AUS,Australia,2009,3.096046266,AUS-2009
