countrycode,country,year,fdi,key
AUS,Australia,1970,2.1769682,AUS-1970
AUT,Austria,1970,0.732802991,AUT-1970
BEL,Belgium,1970,,BEL-1970
CAN,Canada,1970,2.077517923,CAN-1970
CHE,Switzerland,1970,,CHE-1970
CHL,Chile,1970,,CHL-1970
CZE,Czech Republic,1970,,CZE-1970
DEU,Germany,1970,,DEU-1970
DNK,Denmark,1970,0.609060953,DNK-1970
ESP,Spain,1970,0.543030852,ESP-1970
EST,Estonia,1970,,EST-1970
FIN,Finland,1970,0.158367707,FIN-1970
FRA,France,1970,0.418448076,FRA-1970
GBR,United Kingdom,1970,1.138728591,GBR-1970
GRC,Greece,1970,0.380521486,GRC-1970
HUN,Hungary,1970,,HUN-1970
IRL,Ireland,1970,,IRL-1970
ISL,Iceland,1970,,ISL-1970
ISR,Israel,1970,,ISR-1970
ITA,Italy,1970,0.552250022,ITA-1970
JPN,Japan,1970,,JPN-1970
KOR,"Korea, Rep.",1970,,KOR-1970
LUX,Luxembourg,1970,,LUX-1970
LVA,Latvia,1970,,LVA-1970
MEX,Mexico,1970,0.878679617,MEX-1970
NLD,Netherlands,1970,1.678971917,NLD-1970
NOR,Norway,1970,0.499448924,NOR-1970
NZL,New Zealand,1970,2.204263515,NZL-1970
POL,Poland,1970,,POL-1970
PRT,Portugal,1970,0.356392689,PRT-1970
SVK,Slovak Republic,1970,,SVK-1970
SVN,Slovenia,1970,,SVN-1970
SWE,Sweden,1970,0.288241108,SWE-1970
TUR,Turkey,1970,,TUR-1970
USA,United States,1970,0.117112997,USA-1970
AUS,Australia,1971,2.545202038,AUS-1971
AUT,Austria,1971,0.799230382,AUT-1971
BEL,Belgium,1971,,BEL-1971
CAN,Canada,1971,2.290032793,CAN-1971
CHE,Switzerland,1971,,CHE-1971
CHL,Chile,1971,,CHL-1971
CZE,Czech Republic,1971,,CZE-1971
DEU,Germany,1971,0.443038155,DEU-1971
DNK,Denmark,1971,0.654941229,DNK-1971
ESP,Spain,1971,0.4344759,ESP-1971
EST,Estonia,1971,,EST-1971
FIN,Finland,1971,0.199414355,FIN-1971
FRA,France,1971,0.316723878,FRA-1971
GBR,United Kingdom,1971,1.195852917,GBR-1971
GRC,Greece,1971,0.287833767,GRC-1971
HUN,Hungary,1971,,HUN-1971
IRL,Ireland,1971,,IRL-1971
ISL,Iceland,1971,,ISL-1971
ISR,Israel,1971,,ISR-1971
ITA,Italy,1971,0.442629166,ITA-1971
JPN,Japan,1971,,JPN-1971
KOR,"Korea, Rep.",1971,,KOR-1971
LUX,Luxembourg,1971,,LUX-1971
LVA,Latvia,1971,,LVA-1971
MEX,Mexico,1971,0.783163265,MEX-1971
NLD,Netherlands,1971,1.710736174,NLD-1971
NOR,Norway,1971,0.644581086,NOR-1971
NZL,New Zealand,1971,1.363590844,NZL-1971
POL,Poland,1971,,POL-1971
PRT,Portugal,1971,0.608529473,PRT-1971
SVK,Slovak Republic,1971,,SVK-1971
SVN,Slovenia,1971,,SVN-1971
SWE,Sweden,1971,0.20522098,SWE-1971
TUR,Turkey,1971,,TUR-1971
USA,United States,1971,0.074500972,USA-1971
AUS,Australia,1972,2.027766081,AUS-1972
AUT,Austria,1972,0.659136815,AUT-1972
BEL,Belgium,1972,,BEL-1972
CAN,Canada,1972,1.867915927,CAN-1972
CHE,Switzerland,1972,,CHE-1972
CHL,Chile,1972,,CHL-1972
CZE,Czech Republic,1972,,CZE-1972
DEU,Germany,1972,0.635245709,DEU-1972
DNK,Denmark,1972,0.705910349,DNK-1972
ESP,Spain,1972,0.454454451,ESP-1972
EST,Estonia,1972,,EST-1972
FIN,Finland,1972,0.250777129,FIN-1972
FRA,France,1972,0.322695756,FRA-1972
GBR,United Kingdom,1972,0.71071276,GBR-1972
GRC,Greece,1972,0.325723122,GRC-1972
HUN,Hungary,1972,,HUN-1972
IRL,Ireland,1972,,IRL-1972
ISL,Iceland,1972,,ISL-1972
ISR,Israel,1972,,ISR-1972
ITA,Italy,1972,0.465438335,ITA-1972
JPN,Japan,1972,,JPN-1972
KOR,"Korea, Rep.",1972,,KOR-1972
LUX,Luxembourg,1972,,LUX-1972
LVA,Latvia,1972,,LVA-1972
MEX,Mexico,1972,0.39465708,MEX-1972
NLD,Netherlands,1972,1.397105472,NLD-1972
NOR,Norway,1972,0.697060387,NOR-1972
NZL,New Zealand,1972,1.290117814,NZL-1972
POL,Poland,1972,,POL-1972
PRT,Portugal,1972,0.6494533,PRT-1972
SVK,Slovak Republic,1972,,SVK-1972
